Reference #,Online Photos Aquired,Year,Make,Model,Trim,Type,TagPosition,TailLightShape,TailLightPosition,TagMouldingShape,WhiteLocation,ToRoof,BreakLight,SeparateReflectors,ReflectorOrientation,ExhaustCount,ExhaustShape,ExhaustPosition,MakeBadgeLocation,ModelBadgeLocation,TrimBadgeLocation,Bumper,GasTank,Mainfeature,Straight,bumbertobumper,FogLights,Grill
V_1,,2022,Audi,A3,Not Specified,Sedan,Lower Trunk,One Point Inward,overlap,Top/Bottom,Middle Inside,No,Interrior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Driver Side,N/A,No Seam,Passenger Rear,,,,No,Other
V_2,,2020,Audi,A3,Not Specified,Sedan,Lower Trunk,One Point Inward,overlap,Top/Bottom,Middle Inside,No,,Yes,Horizontal,2,Round,Driver Side,Middle,Driver Side,,,Passenger Rear,,,,No,Other
V_3,,2018,Audi,A3,Not Specified,Sedan,Lower Trunk,One Point Inward,overlap,,Middle Inside,No,Exterior Lower,Yes,Horizontal,2,Round,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,No,
V_4,,2017,Audi,A3,Not Specified,Sedan,Lower Trunk,One Point Inward,overlap,Top/Bottom,Middle Inside,No,Exterior Lower,Yes,Horizontal,2,Round,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,No,
V_5,,2016,Audi,A3,Not Specified,Sedan,Lower Trunk,One Point Inward,overlap,Top/Bottom,Middle Inside,No,Exterior Lower,Yes,Horizontal,2,Round,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,No,
V_6,,2015,Audi,A3,Not Specified,Sedan,Lower Trunk,One Point Inward,overlap,Top/Bottom,Middle Inside,No,Exterior Lower,Yes,Horizontal,2,Round,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,No,
V_7,,2020,Volkswagen,Arteon,Not Specified,Sedan,Bumper,One Point Inward,overlap,Trapezoid,Middle Inside,No,Interrior Upper,Yes,Horizontal,2,Other,Both,Middle,Middle,N/A,No Seam,Passenger Rear,,,,Yes,Horizontal
V_8,,2022,Volkswagen,Atlas,Not Specified,SUV,Lower Trunk,Square,overlap,Upside Down Trapezoid,Bottom Outside,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Middle,Driver Side,Partial Seam,Passenger Rear,,,,No,Other
V_9,Yes,2021,Toyota,Avalon,TRD,Sedan,Lower Trunk,Full Length,overlap,Hexagon,Bottom,No,Interrior Lower,,,,,,,,,,,,,,,
V_10,,2013,Dodge,Avenger,SE,Sedan,Bumper,Square,Pillar Only,Rounded Trapezoid,Encapsulated Center,No,Trunk,No,N/A,1,Round,Passenger Side,Middle,Driver Side,N/A,No Seam,Driver Rear,Above Door Handle,Curve Down,No,Yes,Other
V_11,,2015,Volkswagen,Beetle,Not Specified,Sedan,Bumper,Other,Pillar Only,Trapezoid,Other,No,Exterior Lower,Yes,Horizontal,2,Squared,Driver Side,Middle,None,N/A,Partial Seam,Passenger Rear,,,,No,Horizontal
V_12,,2013,Volkswagen,Beetle,Not Specified,Sedan,Bumper,Other,Pillar Only,Trapezoid,Other,No,Exterior Lower,Yes,Horizontal,2,Round,Both,Middle,Other,D/P,Partial Seam,Passenger Rear,,,,Yes,Horizontal
V_13,,2012,Volkswagen,Beetle,Not Specified,Sedan,Bumper,Other,Pillar Only,Trapezoid,Other,No,Exterior Lower,Yes,Horizontal,2,Round,Driver Side,Middle,None,N/A,Partial Seam,Passenger Rear,,,,No,Horizontal
V_14,,2015,Porsche,Boxster,Not Specified,Coupe,Bumper,Oval,Pillar Only,Rectangle,Encapsulated Center,No,Exterior Lower,No,Horizontal,1,Other,Other,Middle,Middle,Passenger Side,No Seam,Passenger Front,In Line with Door Handle,Straight,No,Yes,Horizontal
V_15,,2014,Porsche,Boxster,Not Specified,Coupe,Bumper,Oval,Pillar Only,Rectangle,Encapsulated Center,No,Exterior Lower,No,Horizontal,1,Other,Other,Middle,Middle,N/A,No Seam,Passenger Front,In Line with Door Handle,Straight,Yes,Yes,Horizontal
V_16,,2014,Porsche,Boxster,S,Coupe,Bumper,Oval,Pillar Only,Rectangle,Encapsulated Center,No,Exterior Lower,No,Horizontal,1,Other,Other,Middle,Middle,N/A,No Seam,Passenger Front,In Line with Door Handle,Straight,No,Yes,Horizontal
V_17,,2013,Porsche,Boxster,Not Specified,Coupe,Bumper,Oval,Pillar Only,Open Bottom Trapezoid,Encapsulated Center,No,Exterior Lower,No,Horizontal,1,Other,Other,Middle,None,N/A,No Seam,Passenger Front,In Line with Door Handle,Straight,Yes,Yes,Horizontal
V_18,,2021,Dodge,Challenger,SXT,Coupe,Bumper,Square,overlap,Open Bottom Trapezoid,Encapsulated Center,No,Interrior Upper,Yes,Horizontal,2,Squared,Both,Middle,None,N/A,No Seam,Driver Rear,Below Door Handle,Other,Yes,Yes,Horizontal
V_19,,2020,Dodge,Challenger,GT,Coupe,Bumper,Square,overlap,Open Bottom Trapezoid,Encapsulated Center,No,Interrior Upper,Yes,Horizontal,2,Squared,Both,Middle,None,N/A,No Seam,Driver Rear,Below Door Handle,Other,Yes,Yes,Horizontal
